id,group,original_members,start_s,planned_end_s,executed_through_s,planned_distance_m,executed_distance_m,reason,phase
M197,R48,R48:01;R48:02,225,228.08,228.08,2.464,2.464,Two alley entrants withdraw farther into the existing room rather than follow people into the street.,C18_reaction
M198,R40,R40:01;R40:02;R40:03;R40:04,225,225,225,0,0.0,The ordinary household and a frozen neighbour remain in the room; outside sounds immediately dangerous.,C18_reaction
M199,R47,R47:01,225,225,225,0,0.0,The ordinary household and a frozen neighbour remain in the room; outside sounds immediately dangerous.,C18_reaction
M200,R75,R75:01,225,249.678,249.678,19.742,19.742,From the stair foot the guard cautiously approaches the apparently fallen colleague to assess the estate entrance.,C18_reaction
M201,R30,R30:01;R30:02;R30:03,226,249.699,249,16.589,16.1,"The three escorted witnesses follow more slowly to a lower stair landing, behind the investigating guard.",C18_reaction
M202,R79D,R79:01,226,231.932,231.932,5.932,5.932,The worker is admitted by the guard after delivering the limited report.,C18_reaction
M203,R76,R76:01,226,228.0,228.0,2.0,2.0,Keep watch just inside the surveyed front doorway after admitting the worker.,C18_reaction
M204,R35,R35:01;R35:02;R35:03,235,269.212,239,42.765,5.0,The attacker follows the doorway activity. Continue toward the lower gate by passages around the existing houses; the lower houses still screen the farmland.,C19_reaction
M205,R45,R45:01;R45:02,235,271.366,239,45.457,5.0,The attacker follows the doorway activity. Continue toward the lower gate by passages around the existing houses; the lower houses still screen the farmland.,C19_reaction
M206,R65,R65:01;R65:02;R65:03,235,241.25,241.25,5.0,5.0,"The failed front fastening makes the admitted people move deeper into the existing room, behind the guard.",C19_reaction
M207,R79D,R79:01,235,241.25,241.25,5.0,5.0,"The failed front fastening makes the admitted people move deeper into the existing room, behind the guard.",C19_reaction
M208,R77,R77:01;R77:02;R77:03,235,240.154,240.154,4.123,4.123,The household workers withdraw into the rear of the same existing mansion footprint; no escape passage is invented.,C19_reaction
M209,R76,R76:01,235,237.555,237.555,2.044,2.044,The house-duty guard steps to the damaged doorway to hold it and draw attention away from the people inside.,C19_reaction
M210,R73,R73:01,235,235,235,0,0.0,The Mayor remains alive behind the guard; the account establishes neither a hidden escape nor responsibility of individual historical guards.,C19_reaction
M211,R40,R40:01;R40:02;R40:03;R40:04,242,256.238,252,3.56,2.5,Five injured occupants try to reach the familiar doorway from the damaged room; they cannot run.,C20_reaction
M212,R47,R47:01,242,256.238,252,3.56,2.5,Five injured occupants try to reach the familiar doorway from the damaged room; they cannot run.,C20_reaction
M213,R48,R48:01;R48:02,242,247.151,247.151,3.606,3.606,"The uninjured pair moves to help people hit in the same room, rather than silently abandoning the wounded.",C20_reaction
M214,R30,R30:01;R30:02;R30:03,249,249.0,249.0,0.0,0.0,The investigating guard signals a halt below the gate while assessing the precise attacker.,C20_reaction
M215,R02,R02:01;R02:02,258,258.0,258.0,0.0,0.0,"Stop on meeting the returning southern witnesses. This group learns the contact rule through a report, not shared omniscience.",C21_reaction
M216,R75,R75:01,252.5,252.5,252.5,0.0,0.0,The deliberate edge strike reveals precision. The guard stays in front and signals the three witnesses to retreat down the stairs.,C21_reaction
M217,R30,R30:01;R30:02;R30:03,253,269.947,269.947,16.1,16.1,The guard orders withdrawal after the nearby exact threat. The witnesses descend the same stairs; they know no alternate safe estate entrance.,C21_reaction
M218,R65,R65:01;R65:02;R65:03,254,285.377,284,34.515,33.0,The courtyard refugees can hear the attacker at the stairs and see the front doorway temporarily clear. Leave toward the existing service yard instead of remaining behind the dead guard.,C21_reaction
M219,R79D,R79:01,254,261.289,261.289,5.831,5.831,The admitted worker hesitates inside the doorway as the three refugees leave; he stays with the household workers.,C21_reaction
M220,R77,R77:01;R77:02;R77:03,254,254,254,0,0.0,The household workers stay behind the interior wall line; the uncertain open doorway is not an obvious safe escape.,C21_reaction
M221,R65,R65:01;R65:02;R65:03,265,279.943,279.943,22.415,22.414,"Once through the crowded doorway, the uninjured refugees run across the open courtyard toward the existing service road.",C22_reaction
M222,R79D,R79:01,265,268.366,268.366,2.693,2.693,"The worker tries once more to pull the damaged front door closed behind the people who left, without knowing Bone is turning back.",C22_reaction
M223,R30,R30:01;R30:02;R30:03,273,285.485,285.485,12.485,12.485,"After descending past the unresponsive uphill walker, seek the nearest ordinary household rather than attempt the failed estate again.",C22_reaction
M224,R65,R65:01;R65:02;R65:03,284,299.385,299.385,20.0,20.0,Use the existing cart route out of the private grounds before attempting woodland; no new gap through the property wall.,C23_reaction
M225,R73,R73:01,284,284,284,0,0.0,"After the threshold killings, stay inside the existing house. The Mayor is alive and the workers are not retroactively removed from the ledger.",C23_reaction
M226,R77,R77:01;R77:02;R77:03,284,284,284,0,0.0,"After the threshold killings, stay inside the existing house. The Mayor is alive and the workers are not retroactively removed from the ledger.",C23_reaction
M227,R65L,R65:01,300,328.48,312.625,31.328,13.888,"The estate group knows only that the settlement is enclosed. No western field or southern-road witness has reached them, so the leading refugee tries the wooded boundary.",C24_reaction
M228,R65,R65:02;R65:03,300,300.0,300.0,0.0,0.0,"Hesitate at the unfamiliar red woodland edge, letting the leader test it first.",C24_reaction
M229,R65,R65:02;R65:03,302,330.48,312.625,31.328,11.688,"Follow the leading refugee after a short pause, still lacking a lethal-contact report.",C24_reaction
M230,R73,R73:01,309,309,309,0,0.0,"The Mayor remains in the existing rear part of the house as the Witch approaches. His exact final dialogue, resistance and execution choreography are reserved.",C25_reaction
M231,R77,R77:01;R77:02;R77:03,309,309,309,0,0.0,"The three household workers remain at the rear wall as direct local witnesses, without gaining global knowledge of the village.",C25_reaction
