id,origin_cohort,count,label,micro_membership,injured_count,start_xy_m,start_source,end_xy_m,knowledge_at_90,barrier_knowledge_at_90,barrier_knowledge_at_105,barrier_evidence,emotion,intent,destination_intent,movement_start_s,movement_stop_s,distance_m,mean_plan_speed_m_s,companions,people_left_behind,help_target,concentration_id,potential_bone_stimulus,heads_toward_boundary,approaches_witch,seeks_mayor,final_outcome
R53,P11,2,Cottage_02 interior pair,{},0,"[-14.260708779836456, 58.04842827233592]",REFINEMENT two people per assigned western household; total fourteen indoors,"[-14.260708779836456, 58.04842827233592]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,"Remain at home, bring the household close and listen.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R54,P11,2,Cottage_05 interior pair,{},0,"[-37.899308185831046, 50.76175294041746]",REFINEMENT two people per assigned western household; total fourteen indoors,"[-37.899308185831046, 50.76175294041746]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,"Remain at home, bring the household close and listen.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R55,P11,2,Cottage_10 interior pair,{},0,"[-28.70080697669929, 47.735625027594516]",REFINEMENT two people per assigned western household; total fourteen indoors,"[-28.70080697669929, 47.735625027594516]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,"Remain at home, bring the household close and listen.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R56,P11,1,M10 firewood carrier,"{""M10"": 1}",0,"[-22, 58.4]",T0 M10 unchanged,"[-22, 58.4]",Heard public crash and western calls; cannot track either attacker.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Call to the own-house occupants from the stack; stay at the frontage.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R57,P11,2,Western yard warning pair,{},0,"[-35, 58]",REFINEMENT two more of six western yard occupants in inter-house gap,"[-35, 58]",Saw the western sheet and heard the forest crew warning plus crash.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,"Call to the two nearest homes, remaining in the gap.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,"R49/R50 household vicinity, no village-wide broadcast",,,False,False,False,
R58,P11,3,Western yard escape group,{},0,"[-53.5, 63.5]",REFINEMENT last three of six yard occupants beside Croft Lane working-trail junction,"[-62, 65.15]",Nearby returning crew reported a continuous sheet across the familiar woodland path. Does not know it is solid or lethal.,B2,B2,"Local report of the observed enclosure and direct sheet view supports suspicion, not a crossing result.",Alarmed; urgent but locally informed,ESCAPE,Begin west along the familiar working trail; escape is still an untested possibility.,95,105,8.797,0.88,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G10,,True,False,False,
R59,P11,2,Western between-house walkers,{},0,"[-35, 72]",REFINEMENT two ordinary moving residents on the upper Croft Lane margin,"[-38, 72]","Outdoor crash/warnings and darkening, not remote attacker knowledge.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Begin toward the nearer western household frontage.,95,105,3.0,0.3,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R60,P12,2,AbandonedCottage interior pair,{},0,"[-11.770161950686402, 71.75979490611692]",REFINEMENT two occupants per five assigned upper/middle interiors,"[-11.770161950686402, 71.75979490611692]",Only upper-house environmental change and distant panic; neither attacker directly seen.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Hold inside and listen for someone with a clearer account.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R61,P12,2,UpperCottage interior pair,{},0,"[-10.564044664642587, 91.48448793274292]",REFINEMENT two occupants per five assigned upper/middle interiors,"[-10.564044664642587, 91.48448793274292]",Only upper-house environmental change and distant panic; neither attacker directly seen.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Hold inside and listen for someone with a clearer account.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R62,P12,2,SealedCellarCottage interior pair,{},0,"[-42.56494839082513, 95.80799058682935]",REFINEMENT two occupants per five assigned upper/middle interiors,"[-42.56494839082513, 95.80799058682935]",Only upper-house environmental change and distant panic; neither attacker directly seen.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Hold inside and listen for someone with a clearer account.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R63,P12,2,Cottage_03 interior pair,{},0,"[1.805349113823439, 88.76703122568291]",REFINEMENT two occupants per five assigned upper/middle interiors,"[1.805349113823439, 88.76703122568291]",Only upper-house environmental change and distant panic; neither attacker directly seen.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Hold inside and listen for someone with a clearer account.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R64,P12,2,Cottage_11 interior pair,{},0,"[7.287964464667403, 70.89099528457265]",REFINEMENT two occupants per five assigned upper/middle interiors,"[7.287964464667403, 70.89099528457265]",Only upper-house environmental change and distant panic; neither attacker directly seen.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Hold inside and listen for someone with a clearer account.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R65,P12,3,Upper-yard authority seekers,{},0,"[-4, 97.8]",REFINEMENT three upper-yard occupants in the existing shared upper approach space,"[-2.7, 104]","Distant public noise and visible enclosure; guards are a known local authority, not a proven supernatural defence.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK AUTHORITY,Begin toward the formal stair approach to ask the guards for protection.,95,105,6.401,0.64,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G11,,False,False,True,
R66,P12,1,Ordinary upper homeward resident,{},0,"[-18.995464369040974, 96.90336720470583]",T1 N12 end +55,"[-16.7, 96.5]",Heard unusual lower sounds then blackout; no exact threat location.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Start toward the adjacent upper home frontage; stop before entering.,95,105,2.331,0.233,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R67,P13,1,M13 church caretaker,"{""M13"": 1}",0,"[23.5, 83.7]",T0 M13 church public threshold unchanged,"[23.5, 83.7]",Potential downhill sight/hearing of public attack; no evidence the church provides supernatural safety.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,"Hold the public gate/approach, call to anyone nearby and intend to admit people.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Offers refuge if someone arrives; nobody arrives in this window. No bell is rung.,,,False,False,False,
R68,P14,2,SplitRoofCottage interior pair,{},0,"[55.19936134675863, 52.90877321473297]","REFINEMENT four eastern-edge indoor occupants, two per assigned home","[55.19936134675863, 52.90877321473297]",Blackout and partial warnings; no direct monster or whole-rim view.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Keep together inside and listen to nearby yard calls.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R69,P14,2,Cottage_08 interior pair,{},0,"[50.50795002114778, 74.0386999582112]","REFINEMENT four eastern-edge indoor occupants, two per assigned home","[50.50795002114778, 74.0386999582112]",Blackout and partial warnings; no direct monster or whole-rim view.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Keep together inside and listen to nearby yard calls.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R70,P14,2,Eastern animal-yard pair,{},0,"[58.5, 62]",REFINEMENT two of three eastern yard occupants between assigned cottages,"[62.5, 62]",Sees the nearby eastern sheet; properties unknown.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,ESCAPE,"Begin east from the yard toward the familiar woodland edge, stopping short of the rim.",95,105,4.0,0.4,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,True,False,False,
R71,P14,1,Eastern warning resident,{},0,"[53, 65]",REFINEMENT third eastern yard occupant at Cottage_08 south access,"[53, 65]","Saw local reactions by the open lane, not either attacker current location.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Call into the nearby cottage rather than run immediately.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,"R69 immediate household, warning only",,,False,False,False,
R72,P15,3,M11 returning forest crew,"{""M11"": 3}",0,"[-47.00881055535887, 70.31556044675717]",T1 N06 end +16; crew already reached western yards,"[-54.43808159013606, 63.8473507665139]",Already visually suspects confinement; still lacks a test of whether the sheet can be crossed.,B2,B2,Previously inferred enclosure at +60 from a continuous sheet cutting across a familiar route plus the canopy; confinement remains a suspicion.,Alarmed; urgent but locally informed,ESCAPE,"Reverse along Croft Lane toward the known working trail, intending the forest.",95,105,10.0,1.0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G10,,True,False,False,
R73,P16,1,Mayor,{},0,"[2, 146]","REFINEMENT approved Mayor indoor role, centre of MayorHall","[2, 146]",Dark windows and distant alarm; no direct attack witness or message identifying the Witch.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Alarmed and demanding information; fate unassigned,FREEZE / DELAY,Stay inside and demand a report from the house-duty guard.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R74,P16,1,Entrance guard,{},0,"[2, 125.5]",REFINEMENT existing controlled entrance duty; the one guard already trapped-aware by inference,"[2, 125.5]",Saw continuous rim/canopy; suspects confinement. Does not know who caused it or that the Witch is approaching.,B2,B2,Previously inferred enclosure at +60 from a continuous sheet cutting across a familiar route plus the canopy; confinement remains a suspicion.,Alarmed; urgent but locally informed,HELP,Hold the gate and call uphill for the house to be warned; watch the staircase.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Starts relaying visible enclosure concern toward the estate; no direct report reaches the Mayor yet,,,False,False,False,
R75,P16,1,Service-side guard,{},0,"[-21, 131.5]","REFINEMENT existing service-access duty, second outside guard","[-14, 132]","Saw unnatural enclosure and heard distant panic, without confirming any crossing failure.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Begin toward the courtyard/house frontage to obtain instructions.,95,105,7.041,0.704,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Intends to report to house; does not reach Mayor in this slice,,,False,False,False,
R76,P16,1,House-duty guard,{},0,"[2, 141]","REFINEMENT third guard, indoor house-duty allocation","[2, 141]",Same abnormal windows and distant noise as indoors; no direct monster/barrier properties report.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Alarmed; urgent but locally informed,HELP,"Stay near the Mayor, ask what was seen and prepare to investigate; no departure yet.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Receives Mayor request locally; no omniscient response,,,False,False,False,
R77,P16,3,Indoor estate staff,{},0,"[10, 145]",REFINEMENT three of four resident staff indoors; preserves five indoor estate occupants total,"[10, 145]","Only window blackout and alarm, no direct outside report delivered.",B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,"Keep together in familiar service rooms, listening for instructions.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R78,P16,1,Outside stable/service worker,{},0,"[-16, 134]","REFINEMENT fourth staff member, exterior stable/service apron","[-16, 134]",Sees the red enclosure; does not know if road or buildings are safer.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Frightened; seeking familiar protection,SEEK SHELTER,Remain by the service frontage intending nearby stable cover; no completed entry.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R79,P17,2,M12 provisions cart crew,"{""M12"": 2}",0,"[-41.33943261627502, 155.59528725184182]",T1 N07 end +35; cart still on western switchback,"[-36.56045688759115, 163.04421319838252]",Saw sheet/canopy across the outer approach and suspects confinement. No attack or crossing test witnessed.,B2,B2,Previously inferred enclosure at +60 from a continuous sheet cutting across a familiar route plus the canopy; confinement remains a suspicion.,Alarmed; urgent but locally informed,SEEK AUTHORITY,Start the cart a short way toward estate service access to ask guards what to do.,96,105,9.0,1.0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,True,
