group_id,origin_cohort,original_count,surviving_count,injured_survivors,xy_m,blood_channel,blood_information,distance_to_blood_event_m,blood_roof_obstructions,bone_channel,bone_information,distance_to_bone_event_m,bone_roof_obstructions,barrier_before,barrier_after,barrier_contact_information,bell_information,movement_source,next_decision
R57,P11,2,2,0,"[-35.0, 58.0]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",39.71,"[""CrushedHome""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,49.71,"[""Blacksmith"", ""Cottage_05""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R58,P11,3,3,0,"[-65.5188, 65.15]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",71.05,"[""CrushedHome"", ""RearCottage""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,59.46,"[""WeaverCottage"", ""Blacksmith""]",B2,B2,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R59,P11,2,2,0,"[-38.0, 72.0]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",47.18,"[""CrushedHome"", ""Cottage_02"", ""Cottage_13""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,63.71,"[""Blacksmith"", ""Cottage_05""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R60,P12,2,2,0,"[-11.770161950686402, 71.75979490611692]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",26.47,"[""AbandonedCottage"", ""Cottage_13""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,66.89,"[""AbandonedCottage"", ""Blacksmith"", ""Cottage_02""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R61,P12,2,2,0,"[-10.564044664642587, 91.48448793274292]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",43.5,"[""UpperCottage""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,86.13,"[""AbandonedCottage"", ""UpperCottage"", ""Blacksmith""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R62,P12,2,2,0,"[-42.56494839082513, 95.80799058682935]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",64.97,"[""SealedCellarCottage"", ""AbandonedCottage"", ""Cottage_13""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,88.0,"[""SealedCellarCottage"", ""WeaverCottage"", ""Blacksmith"", ""Cottage_05""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R63,P12,2,2,0,"[1.805349113823439, 88.76703122568291]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",38.33,"[""Cottage_03"", ""Cottage_11""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,87.65,"[""Blacksmith"", ""Cottage_02"", ""Cottage_03""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R64,P12,2,2,0,"[7.287964464667403, 70.89099528457265]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",20.65,"[""Cottage_11""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,74.42,"[""Blacksmith"", ""Cottage_11"", ""Cottage_13""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R65,P12,3,3,0,"[-2.7, 104.0]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",53.92,"[""Cottage_03""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,94.66,"[""AbandonedCottage"", ""UpperCottage"", ""Blacksmith"", ""Cottage_02""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R66,P12,1,1,0,"[-16.7, 96.5]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",50.44,"[""AbandonedCottage"", ""UpperCottage""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,89.67,"[""CrushedHome"", ""Blacksmith"", ""Cottage_10""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R67,P13,1,1,0,"[23.5, 83.7]",POSSIBLE_VIEW_AND_SOUND,May see the renewed impact at range and hear it; exact persons/injury outcomes are not identifiable by fiat.,38.5,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,94.2,[],B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R68,P14,2,2,0,"[55.19936134675863, 52.90877321473297]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",51.26,"[""SplitRoofCottage""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,98.83,"[""NeedleHouse"", ""SplitRoofCottage"", ""Tavern"", ""Cottage_01"", ""Cottage_04"", ""Cottage_07"", ""Cottage_12""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R69,P14,2,2,0,"[50.50795002114778, 74.0386999582112]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",52.13,"[""Cottage_08""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,106.27,"[""Tavern"", ""Cottage_08"", ""Cottage_09"", ""Cottage_09_YardShed""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R70,P14,2,2,0,"[64.1, 62.0]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",61.19,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,106.43,"[""SplitRoofCottage"", ""Tavern"", ""Cottage_01"", ""Cottage_04"", ""Cottage_07"", ""Cottage_09"", ""Cottage_12""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R71,P14,1,1,0,"[53.0, 65.0]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",51.1,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,103.0,"[""Tavern"", ""Cottage_09"", ""Cottage_12"", ""Cottage_09_YardShed""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R72,P15,3,3,0,"[-56.5, 64.65]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",62.13,"[""CrushedHome"", ""RearCottage"", ""Cottage_02""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,63.24,"[""RearCottage"", ""WeaverCottage"", ""Blacksmith"", ""Cottage_05""]",B2,B2,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R73,P16,1,1,0,"[2.0, 146.0]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,95.52,"[""MayorHall"", ""Cottage_03"", ""Cottage_11"", ""Cottage_03_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,142.05,"[""MayorHall"", ""UpperCottage"", ""Blacksmith""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R74,P16,1,1,0,"[2.0, 125.5]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",75.03,"[""Cottage_03"", ""Cottage_11"", ""Cottage_03_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,122.29,"[""AbandonedCottage"", ""UpperCottage"", ""Blacksmith"", ""Cottage_02""]",B2,B2,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R75,P16,1,1,0,"[-14.0, 132.0]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",83.46,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,123.82,"[""CrushedHome"", ""Blacksmith"", ""Cottage_10""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R76,P16,1,1,0,"[2.0, 141.0]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,90.52,"[""MayorHall"", ""Cottage_03"", ""Cottage_11"", ""Cottage_03_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,137.21,"[""MayorHall"", ""AbandonedCottage"", ""UpperCottage"", ""Blacksmith""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R77,P16,3,3,0,"[10.0, 145.0]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,94.69,"[""MayorHall"", ""Cottage_11""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,143.28,"[""MayorHall"", ""AbandonedCottage"", ""UpperCottage"", ""Blacksmith"", ""Cottage_02""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R78,P16,1,1,0,"[-16.0, 134.0]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,85.86,"[""UpperCottage""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,126.81,"[""CrushedHome"", ""Blacksmith"", ""Cottage_10""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R79,P17,2,2,0,"[-32.708032891089076, 163.95641988041885]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,119.25,"[""UpperCottage""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,147.5,"[""SealedCellarCottage"", ""Blacksmith"", ""Cottage_05""]",B2,B2,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
