id,start,planned_end,actual_end,end_xy,end_reason,people,path,intention,kind,destination_shelter,group
M0106,186.0,186.0,187.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect / question local civilians,walk,,G077
M0107,188.0,188.0,189.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0108,189.0,189.0,190.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect / question local civilians,walk,,G077
M0109,191.0,191.0,192.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0110,192.0,192.0,193.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect / question local civilians,walk,,G077
M0111,194.0,194.0,195.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0112,195.0,195.0,196.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect / question local civilians,walk,,G077
M0113,197.0,197.0,198.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0114,198.0,198.0,199.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect / question local civilians,walk,,G077
M0115,200.0,200.0,201.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0116,201.0,201.0,202.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect / question local civilians,walk,,G077
M0117,203.0,203.0,204.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0118,204.0,204.0,205.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect nearby civilian / hold a retreat line,walk,,G077
M0119,206.0,206.0,207.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0120,208.0,208.0,209.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect nearby civilian / hold a retreat line,walk,,G077
M0121,209.0,209.0,210.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0122,212.0,212.0,213.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0123,215.0,215.0,216.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0124,216.0,216.0,217.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect nearby civilian / hold a retreat line,walk,,G077
M0125,218.0,218.0,219.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0126,221.0,221.0,222.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0127,224.0,224.0,225.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0128,226.0,226.0,227.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect nearby civilian / hold a retreat line,walk,,G077
M0129,227.0,227.0,228.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0130,230.0,230.0,231.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0131,233.0,233.0,234.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect nearby civilian / hold a retreat line,walk,,G077
M0132,233.0,233.0,234.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0133,236.0,236.0,237.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0134,238.0,238.0,239.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [2.0, 122.0]]",protect nearby civilian / hold a retreat line,walk,,G077
M0135,239.0,249.3756784499613,246.0,"[17.344489873273066, 47.96222153442647]",fresh local decision,"[""P10-13""]","[[26.73205604889141, 42.37008607615638], [27.998173433291438, 47.66286649605519], [27.998173433291438, 47.66286649605519], [16, 48], [12, 44], [11.471479653027407, 43.45082497057234]]",leave compromised shelter by another opening,flee,Cottage_01_YardShed,G088
M0136,239.0,259.4459918220326,250.0,"[43.03505342123841, 36.96494657876159]",fresh local decision,"[""P10-24""]","[[26.73205604889141, 42.37008607615638], [27.998173433291438, 47.66286649605519], [27.998173433291438, 47.66286649605519], [30, 48], [34, 42], [40, 40], [58, 22], [58.41648262744823, 21.6224344836443]]",try nearby forest/field edge; lethal response unknown,flee,,G089
M0137,239.0,239.0,240.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0138,242.0,242.0,243.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0139,246.0,250.6827520062039,251.0,"[6.0, 132.0]",arrived,"[""P16-02""]","[[2.0, 122.0], [6.0, 132.0]]",retreat uphill while keeping Bone in sight,flee,,G077
M0140,246.0,257.3934423164754,,,,"[""P10-13""]","[[17.344489873273066, 47.96222153442647], [11.471479653027407, 43.45082497057234]]",seek familiar home / nearby refuge,flee,Cottage_01_YardShed,G088
M0141,250.0,259.24912426060706,260.0,"[60.831939398436994, 25.3111585964828]",arrived,"[""P10-24""]","[[43.03505342123841, 36.96494657876159], [60.831939398436994, 25.3111585964828]]",try nearby forest/field edge; lethal response unknown,flee,,G089
M0142,315.0,328.81318277098865,,,,"[""P10-09""]","[[24.515647050656685, 24.465429714281115], [18.287458343725632, 24.41491214231297], [18.287458343725632, 24.41491214231297], [18, 26], [26, 32], [30, 26], [34, 28], [33.20554603247811, 30.102665904797757]]",leave compromised shelter by another opening,flee,OldQuarterStore,G090
M0143,315.0,328.81318277098865,,,,"[""P10-22""]","[[24.515647050656685, 24.465429714281115], [18.287458343725632, 24.41491214231297], [18.287458343725632, 24.41491214231297], [18, 26], [26, 32], [30, 26], [34, 28], [33.20554603247811, 30.102665904797757]]",leave compromised shelter by another opening,flee,OldQuarterStore,G045
M0144,342.0,347.0499210050765,,,,"[""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16""]","[[34.5, 22.950000000000003], [37.812054387116426, 22.209956351709014], [37.812054387116426, 22.209956351709014], [42, 22], [44, 24], [44.80690532143078, 24.887474260390338]]",leave compromised shelter by another opening,flee,CrookedCottage_YardShed,G031
M0145,342.0,347.0499210050765,,,,"[""P09-03"", ""P09-04"", ""P09-05"", ""P09-07""]","[[34.5, 22.950000000000003], [37.812054387116426, 22.209956351709014], [37.812054387116426, 22.209956351709014], [42, 22], [44, 24], [44.80690532143078, 24.887474260390338]]",leave compromised shelter by another opening,flee,CrookedCottage_YardShed,G084
M0146,342.0,347.0499210050765,,,,"[""P09-13""]","[[34.5, 22.950000000000003], [37.812054387116426, 22.209956351709014], [37.812054387116426, 22.209956351709014], [42, 22], [44, 24], [44.80690532143078, 24.887474260390338]]",leave compromised shelter by another opening,flee,CrookedCottage_YardShed,G085
M0147,357.0,362.20563705611295,363.0,"[44.80690532143078, 24.887474260390338]",arrived,"[""P10-01"", ""P10-02"", ""P10-03""]","[[37.62248458949683, 33.04321460135457], [41.03861020856111, 28.2672639622985], [41.03861020856111, 28.2672639622985], [42.14402314954438, 28.908705405598827], [44.80690532143078, 24.887474260390338]]",leave compromised shelter by another opening,flee,CrookedCottage_YardShed,G038
M0148,357.0,362.20563705611295,363.0,"[44.80690532143078, 24.887474260390338]",arrived,"[""P10-16""]","[[37.62248458949683, 33.04321460135457], [41.03861020856111, 28.2672639622985], [41.03861020856111, 28.2672639622985], [42.14402314954438, 28.908705405598827], [44.80690532143078, 24.887474260390338]]",leave compromised shelter by another opening,flee,CrookedCottage_YardShed,G091
