id,t,phase,kind,actor,xy,text,target,shelter,stream,people,affected_people,trigger
E0170,289.0,ACTION,bone_object_strike,Bone,"[27.998173433291438, 47.66286649605519]",Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a safe side.,P10-14,Cottage_12,,,,visible search stream pulses at threshold; Bone recognises interest
E0171,290.0,ACTION,stream_threshold,Blood,"[5.1486961447625195, 66.00103604870566]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,Cottage_11,S017,,,
E0172,291.0,ACTION,stream_start,Blood,"[12.868775669434878, 40.83257254441739]",New surface search branch toward an untested nearby access.,,Cottage_13,S020,,,
E0173,295.0,ACTION,bone_abandon,Bone,"[27.843817912192733, 48.11812647929835]","After changing the shelter's decision state, loses interest in the unexposed occupants.",P10-14,,,,,no acquired person at the threatened opening
E0174,298.0,ACTION,bone_attention,Bone,"[27.843817912192733, 48.11812647929835]",Attention changes: visible search stream pulses at threshold; Bone recognises interest,P10-23,,,,,
E0175,299.0,ACTION,stream_start,Blood,"[19.39725188223239, 30.803664157023483]",New surface search branch toward an untested nearby access.,,Cottage_06,S021,,,
E0176,299.0,ACTION,bone_object_strike,Bone,"[27.998173433291438, 47.66286649605519]",Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a safe side.,P10-23,Cottage_12,,,,visible search stream pulses at threshold; Bone recognises interest
E0177,301.0,ACTION,stream_threshold,Blood,"[14.157795802590462, 30.176705020986525]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,Tavern,S019,,,
E0178,303.0,ACTION,blood_commit,Blood,"[24.322850576894428, 32.881900384596285]",Commits to physical stream presence; five-second build-up.,"[25.247343695843096, 36.1635079434979]",Cottage_12,,,,
E0179,304.0,ACTION,stream_threshold,Blood,"[-16.263723388751885, 62.157344295111756]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,Cottage_02,S018,,,
E0180,304.0,ACTION,stream_threshold,Blood,"[-1.327917297418125, 51.88636893128339]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,Cottage_13,S020,,,
E0181,305.0,ACTION,stream_response,Blood,"[-15.657145411553158, 60.913030869497575]",Search response: presence (coarse cue only).,,Cottage_02,S018,,,
E0182,305.0,ACTION,bone_abandon,Bone,"[27.843817912192733, 48.11812647929835]","After changing the shelter's decision state, loses interest in the unexposed occupants.",P10-23,,,,,no acquired person at the threatened opening
E0183,308.0,ACTION,blood_attack,Blood,"[24.322850576894428, 32.881900384596285]",Deliberate pressure strike toward the perceived concentration.,"[26.73205604889141, 42.37008607615638]",Cottage_12,,,"[""P10-14"", ""P10-23""]",
E0184,308.0,ACTION,bone_vantage,Bone,"[27.843817912192733, 48.11812647929835]",Loses the concealed subject; darts to a different architectural sightline to look for a new human reaction.,,,,,,no acquired human stimulus; attention shifts to an open elevated sightline
E0185,309.0,ACTION,stream_response,Blood,"[26.73205604889141, 42.37008607615638]",Search response: none (coarse cue only).,,Cottage_12,S011,,,
E0186,309.0,ACTION,stream_start,Blood,"[24.322850576894428, 32.881900384596285]",New surface search branch toward an untested nearby access.,,Cottage_01,S022,,,
E0187,314.0,ACTION,mayor_secured,Witch,"[2, 146]",Reaches and secures the Mayor; sixty-second confrontation begins. No survivor-count knowledge.,,,,,,
E0188,314.0,ACTION,stream_threshold,Blood,"[28.918823105880964, 24.5011443937369]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,Cottage_06,S021,,,
E0189,314.0,ACTION,stream_start,Blood,"[24.322850576894428, 32.881900384596285]",New surface search branch toward an untested nearby access.,,OldQuarterStore,S023,,,
E0190,315.0,ACTION,stream_response,Blood,"[27.33458740767527, 24.488294471445762]",Search response: presence (coarse cue only).,,Cottage_06,S021,,,
E0191,315.0,ACTION,blood_commit,Blood,"[24.322850576894428, 32.881900384596285]",Commits to physical stream presence; five-second build-up.,"[30.450290173022168, 24.513566303447995]",Cottage_06,,,,
E0192,316.0,ACTION,stream_response,Blood,"[25.750351709469573, 24.475444549154627]",Search response: none (coarse cue only).,,Cottage_06,S021,,,
E0193,317.0,ACTION,stream_response,Blood,"[24.515647050656685, 24.465429714281115]",Search response: presence (coarse cue only).,,Cottage_06,S021,,,
E0194,318.0,ACTION,bone_vantage,Bone,"[38.0, 65.0]",Loses the concealed subject; darts to a different architectural sightline to look for a new human reaction.,,,,,,no acquired human stimulus; attention shifts to an open elevated sightline
E0195,319.0,ACTION,stream_threshold,Blood,"[30.3733113586646, 28.56498983550901]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,OldQuarterStore,S023,,,
E0196,320.0,ACTION,blood_attack,Blood,"[24.322850576894428, 32.881900384596285]",Deliberate pressure strike toward the perceived concentration.,"[24.515647050656685, 24.465429714281115]",Cottage_06,,,"[""P10-07"", ""P10-08"", ""P10-09"", ""P10-22""]",
E0197,321.0,ACTION,resource,Blood,"[20.928531116278343, 28.196398337208755]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0198,321.0,ACTION,resource,Blood,"[20.928531116278343, 28.196398337208755]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0199,321.0,ACTION,stream_response,Blood,"[24.515647050656685, 24.465429714281115]",Search response: none (coarse cue only).,,Cottage_06,S021,,,
E0200,328.0,ACTION,bone_vantage,Bone,"[-30.0, 32.0]",Loses the concealed subject; darts to a different architectural sightline to look for a new human reaction.,,,,,,no acquired human stimulus; attention shifts to an open elevated sightline
E0201,329.0,ACTION,stream_threshold,Blood,"[22.70566813378767, 38.489578751748034]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,Cottage_01,S022,,,
E0202,331.0,ACTION,stream_start,Blood,"[24.322850576894428, 32.881900384596285]",New surface search branch toward an untested nearby access.,,OldQuarterSharedShed,S024,,,
E0203,338.0,ACTION,bone_vantage,Bone,"[14.0, 53.0]",Loses the concealed subject; darts to a different architectural sightline to look for a new human reaction.,,,,,,no acquired human stimulus; attention shifts to an open elevated sightline
E0204,339.0,ACTION,stream_threshold,Blood,"[32.570991707253924, 23.38101657391268]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,OldQuarterSharedShed,S024,,,
E0205,339.0,ACTION,stream_response,Blood,"[32.570991707253924, 23.38101657391268]",Search response: dense (coarse cue only).,,OldQuarterSharedShed,S024,,,
E0206,339.0,ACTION,blood_commit,Blood,"[24.322850576894428, 32.881900384596285]",Commits to physical stream dense; five-second build-up.,"[31.187945612883574, 23.69004364829099]",OldQuarterSharedShed,,,,
E0207,339.0,ACTION,bone_attention,Bone,"[14.242313013126154, 60.996329433163055]",Attention changes: visible search stream pulses at threshold; Bone recognises interest,P09-03,,,,,
E0208,343.0,ACTION,stream_start,Blood,"[24.322850576894428, 32.881900384596285]",New surface search branch toward an untested nearby access.,,Cottage_01_YardShed,S025,,,
E0209,343.0,ACTION,bone_burst,Bone,"[15.0, 86.0]",Short burst toward the current human stimulus.,P09-03,,,,,visible search stream pulses at threshold; Bone recognises interest
E0210,344.0,ACTION,stream_response,Blood,"[34.5, 22.950000000000003]",Search response: none (coarse cue only).,,OldQuarterSharedShed,S024,,,
E0211,344.0,ACTION,blood_attack,Blood,"[24.322850576894428, 32.881900384596285]",Deliberate pressure strike toward the perceived concentration.,"[34.5, 22.950000000000003]",OldQuarterSharedShed,,,"[""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P09-03"", ""P09-04"", ""P09-05"", ""P09-07"", ""P09-13""]",
E0212,347.0,ACTION,stream_start,Blood,"[24.322850576894428, 32.881900384596285]",New surface search branch toward an untested nearby access.,,CrookedCottage,S026,,,
E0213,353.0,ACTION,bone_vantage,Bone,"[37.13024575072423, 22.14043302995244]",Loses the concealed subject; darts to a different architectural sightline to look for a new human reaction.,,,,,,no acquired human stimulus; attention shifts to an open elevated sightline
E0214,354.0,ACTION,stream_threshold,Blood,"[34.02727119901077, 38.06954079791232]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,CrookedCottage,S026,,,
E0215,356.0,ACTION,stream_response,Blood,"[35.90198919339178, 35.448571430349546]",Search response: dense (coarse cue only).,,CrookedCottage,S026,,,
E0216,356.0,ACTION,blood_commit,Blood,"[24.322850576894428, 32.881900384596285]",Commits to physical stream dense; five-second build-up.,"[33.846659797415356, 38.32204648273157]",CrookedCottage,,,,
E0217,356.0,ACTION,bone_attention,Bone,"[20.84320156661451, 30.281067188871504]",Attention changes: visible search stream pulses at threshold; Bone recognises interest,P10-15,,,,,
E0218,357.0,ACTION,stream_threshold,Blood,"[18.100702758535192, 42.78069886224396]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,Cottage_01_YardShed,S025,,,
E0219,359.0,ACTION,stream_response,Blood,"[37.62248458949683, 33.04321460135457]",Search response: none (coarse cue only).,,CrookedCottage,S026,,,
E0220,361.0,ACTION,blood_attack,Blood,"[24.322850576894428, 32.881900384596285]",Deliberate pressure strike toward the perceived concentration.,"[37.62248458949683, 33.04321460135457]",CrookedCottage,,,"[""P10-15""]",
E0221,364.0,ACTION,stream_start,Blood,"[24.322850576894428, 32.881900384596285]",New surface search branch toward an untested nearby access.,,Cottage_12,S027,,,
E0222,366.0,ACTION,bone_vantage,Bone,"[-37.0, 70.0]",Loses the concealed subject; darts to a different architectural sightline to look for a new human reaction.,,,,,,no acquired human stimulus; attention shifts to an open elevated sightline
E0223,367.0,ACTION,stream_threshold,Blood,"[25.36899694595939, 36.6720578995809]",Thin blood reaches an estimated threshold; visible infiltration may compromise shelter.,,Cottage_12,S027,,,
E0224,368.0,ACTION,stream_start,Blood,"[24.322850576894428, 32.881900384596285]",New surface search branch toward an untested nearby access.,,Tavern,S028,,,
E0225,372.0,ACTION,stream_start,Blood,"[24.322850576894428, 32.881900384596285]",New surface search branch toward an untested nearby access.,,CrookedCottage_YardShed,S029,,,
E0226,373.923,ACTION,mayor_final,Witch,"[2, 146]",Mayor personally killed by Witch. Primary simulation closes; no later casualties.,,,,,,
