person,t,killer,xy,pre90,intention,event,bone_contributing,bone_direct_or_chain,bone_movement_chain,injury,exposure,witness_groups,witness_people,local_knowledge,blood_units,contributing_causes,recorded_prior_intention,review_annotation
P02-06,258,Blood,"[3.3097, -37.3123]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E325,False,False,[],False,Exposed corridor,"[""west-home-split10"", ""pasture-partner""]","[""P04-01""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Farmstead_South""]",,
P03-01,258,Blood,"[11.3, -55.2]",False,Turn toward familiar barn after seeing Blood approaching the farmyard,E325,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""east-home""]","[""P03-02"", ""P03-03""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Farmstead_West"", ""search-Farmstead_West""]",,
P03-02,258,Blood,"[11.3, -55.2]",False,Turn toward familiar barn after seeing Blood approaching the farmyard,E325,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""east-home""]","[""P03-03""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Farmstead_West"", ""search-Farmstead_West""]",,
P03-03,258,Blood,"[11.3, -55.2]",False,Turn toward familiar barn after seeing Blood approaching the farmyard,E325,False,False,[],True,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""search-Farmstead_West"", ""search-Farmstead_West""]",,
P03-05,258,Blood,"[11.3, -55.2]",False,Turn toward familiar barn after seeing Blood approaching the farmyard,E325,True,True,"[{""t"": 126, ""cause"": ""Bone barn puncture"", ""destination"": ""Farmstead_West""}, {""t"": 134, ""cause"": ""Bone farm helper attack"", ""destination"": ""Farmstead_West""}]",False,Repeated pressure through previously damaged shelter face,"[""east-yard""]","[""P03-06"", ""P03-07""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone E092"", ""Bone barn puncture"", ""Bone farm helper attack"", ""search-Farmstead_West"", ""search-Farmstead_West""]",,
P03-06,258,Blood,"[11.3, -55.2]",False,Turn toward familiar barn after seeing Blood approaching the farmyard,E325,True,True,"[{""t"": 126, ""cause"": ""Bone barn puncture"", ""destination"": ""Farmstead_West""}, {""t"": 134, ""cause"": ""Bone farm helper attack"", ""destination"": ""Farmstead_West""}]",False,Repeated pressure through previously damaged shelter face,"[""east-yard""]","[""P03-07""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone E092"", ""Bone barn puncture"", ""Bone farm helper attack"", ""search-Farmstead_West"", ""search-Farmstead_West""]",,
P03-07,258,Blood,"[11.3, -55.2]",False,Turn toward familiar barn after seeing Blood approaching the farmyard,E325,True,True,"[{""t"": 126, ""cause"": ""Bone barn puncture"", ""destination"": ""Farmstead_West""}, {""t"": 134, ""cause"": ""Bone farm helper attack"", ""destination"": ""Farmstead_West""}]",True,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""Bone E092"", ""Bone barn puncture"", ""Bone farm helper attack"", ""search-Farmstead_West"", ""search-Farmstead_West""]",,
P05-04,258,Blood,"[11.3, -55.2]",False,Three surviving witnesses run for the barn workers they were trying to warn,E325,True,True,"[{""t"": 122, ""cause"": ""Bone farm warning interception"", ""destination"": ""NorthBarn""}]",False,Repeated pressure through previously damaged shelter face,"[""approach-witnesses""]","[""P05-05"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone farm warning interception""]",,
P05-05,258,Blood,"[11.3, -55.2]",False,Three surviving witnesses run for the barn workers they were trying to warn,E325,True,True,"[{""t"": 122, ""cause"": ""Bone farm warning interception"", ""destination"": ""NorthBarn""}]",False,Repeated pressure through previously damaged shelter face,"[""approach-witnesses""]","[""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone farm warning interception""]",,
P05-06,258,Blood,"[11.3, -55.2]",False,Three surviving witnesses run for the barn workers they were trying to warn,E325,True,True,"[{""t"": 122, ""cause"": ""Bone farm warning interception"", ""destination"": ""NorthBarn""}]",True,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""Bone farm warning interception""]",,
P04-01,258,Blood,"[3.3097, -37.3123]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E325,False,False,[],False,Exposed corridor,"[""west-home-split10""]",[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Farmstead_South""]",,
P17-02,262,Bone,"[-12.0, 134.0]",False,Helper goes toward stable worker to warn them instead of following driver,E339,True,True,"[{""t"": 262, ""cause"": ""Bone service-yard injury"", ""destination"": [-11, 136]}]",True,Local intended precise strike during Helper goes toward stable worker to warn them instead of following driver,"[""delivery-helper"", ""delivery"", ""stable-staff""]","[""P16-08"", ""P17-01""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P02-01,266,Blood,"[-21.5, -53.9]",False,Tool workers seek storage shelter,E344,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""east-yard"", ""east-tools"", ""east-home"", ""west-tools"", ""approach-witnesses""]","[""P01-03"", ""P02-02"", ""P03-03"", ""P03-07"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P02-04,266,Blood,"[-21.5, -53.9]",False,Shaken direct B4 witness goes to warn farm workers in person,E344,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""east-yard"", ""approach-witnesses"", ""east-home"", ""east-tools""]","[""P01-03"", ""P03-03"", ""P03-07"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P02-05,266,Blood,"[-21.5, -53.9]",False,Keeper seeks tools and family at barn after public bell,E344,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""east-yard"", ""approach-witnesses"", ""east-home"", ""east-tools""]","[""P01-03"", ""P03-03"", ""P03-07"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P04-02,266,Blood,"[-20.0047, -42.89]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E344,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""west-home""]","[""P04-03""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P04-04,266,Blood,"[-21.5, -53.9]",False,Storage pair gathers inside familiar barn,E344,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""east-yard"", ""east-tools"", ""barn-storage"", ""east-home"", ""approach-witnesses""]","[""P01-03"", ""P03-03"", ""P03-07"", ""P04-05"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P04-06,266,Blood,"[-21.5, -53.9]",False,Yard worker helps close barn doors,E344,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""east-yard"", ""approach-witnesses"", ""east-home"", ""east-tools""]","[""P01-03"", ""P03-03"", ""P03-07"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P02-01,272,Blood,"[-18.8981, -49.5979]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E358,False,False,[],False,Exposed corridor,"[""west-field"", ""pasture-keeper"", ""east-yard"", ""east-tools"", ""barn-storage"", ""east-home"", ""west-tools"", ""approach-witnesses"", ""west-yard""]","[""P01-03"", ""P02-02"", ""P02-04"", ""P02-05"", ""P03-03"", ""P03-07"", ""P04-04"", ""P04-05"", ""P04-06"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E344""]",,
P02-02,272,Blood,"[-18.8981, -49.5979]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E358,False,False,[],False,Exposed corridor,"[""west-field"", ""pasture-keeper"", ""east-yard"", ""east-tools"", ""barn-storage"", ""east-home"", ""west-tools"", ""approach-witnesses"", ""west-yard""]","[""P01-03"", ""P02-04"", ""P02-05"", ""P03-03"", ""P03-07"", ""P04-04"", ""P04-05"", ""P04-06"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E344""]",,
P02-04,272,Blood,"[-18.8981, -49.5979]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E358,False,False,[],False,Exposed corridor,"[""west-field"", ""pasture-keeper"", ""east-yard"", ""east-tools"", ""barn-storage"", ""east-home"", ""approach-witnesses"", ""west-yard""]","[""P01-03"", ""P02-05"", ""P03-03"", ""P03-07"", ""P04-04"", ""P04-05"", ""P04-06"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E344""]",,
P02-05,272,Blood,"[-18.8981, -49.5979]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E358,False,False,[],False,Exposed corridor,"[""pasture-keeper"", ""east-yard"", ""east-tools"", ""barn-storage"", ""east-home"", ""approach-witnesses"", ""west-yard""]","[""P01-03"", ""P03-03"", ""P03-07"", ""P04-04"", ""P04-05"", ""P04-06"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E344""]",,
P04-02,272,Blood,"[-25.9606, -41.6372]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E358,False,False,[],False,Exposed corridor,"[""west-home""]","[""P04-03""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E344""]",,
P04-03,272,Blood,"[-25.9606, -41.6372]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E358,False,False,[],True,Exposed corridor,"[""west-home""]",[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""E344""]",,
P04-04,272,Blood,"[-18.8981, -49.5979]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E358,False,False,[],False,Exposed corridor,"[""east-yard"", ""east-tools"", ""barn-storage"", ""east-home"", ""approach-witnesses"", ""west-yard""]","[""P01-03"", ""P03-03"", ""P03-07"", ""P04-05"", ""P04-06"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E344""]",,
P04-05,272,Blood,"[-18.8981, -49.5979]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E358,False,False,[],False,Exposed corridor,"[""east-yard"", ""east-tools"", ""barn-storage"", ""east-home"", ""approach-witnesses"", ""west-yard""]","[""P01-03"", ""P03-03"", ""P03-07"", ""P04-06"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E344""]",,
P04-06,272,Blood,"[-18.8981, -49.5979]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E358,False,False,[],False,Exposed corridor,"[""east-yard"", ""east-tools"", ""east-home"", ""approach-witnesses"", ""west-yard""]","[""P01-03"", ""P03-03"", ""P03-07"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E344""]",,
P17-01,280,Barrier,"[-44.1995, 176.2272]",False,Driver tries the apparent forest-side opening after abandoning cart; he has seen the sheet but has no lethal-contact warning,E360,True,True,"[{""t"": 266, ""cause"": ""Bone seen at gate"", ""destination"": [-44.1995, 176.2272]}]",False,Physical attempt to cross opaque reactive boundary,"[""delivery""]",[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone seen at gate""]",,
P08-23,280,Bone,"[14.445, 97.7908]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E363,True,True,[],False,Local intended precise strike during Leave newly compromised shelter for a nearby known refuge after local disagreement,"[""centre-transit""]","[""P08-25"", ""P08-26""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Cottage_13"", ""search-Cottage_11"", ""search-UpperCottage""]",,
P13-01,300,Bone,"[6.8068, 92.3038]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E395,True,True,[],False,Local intended precise strike during Leave newly compromised shelter for a nearby known refuge after local disagreement,"[""caretaker"", ""upper-Cottage_11"", ""centre-transit"", ""upper-UpperCottage-split13"", ""children-yard"", ""upper-Cottage_03""]","[""P08-26"", ""P10-17"", ""P10-18"", ""P10-19"", ""P10-20"", ""P12-03"", ""P12-07"", ""P12-08"", ""P12-10""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Church"", ""Bone E388""]",,
P09-14,314.0,Bone,"[48.5578, 67.7771]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E451,True,True,"[{""t"": 151, ""cause"": ""E156"", ""destination"": ""CollapsedCellarCottage""}, {""t"": 160, ""cause"": ""Bone lower guide injury"", ""destination"": ""CollapsedCellarCottage""}]",False,Local intended precise strike during Leave newly compromised shelter for a nearby known refuge after local disagreement,"[""tavern-delivery"", ""old-Cottage_06-split8"", ""tavern-service-runners-split8""]","[""P09-02"", ""P10-08""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E044 tavern corner damage"", ""E069 tavern breach"", ""Bone E156"", ""E156"", ""Bone lower guide injury"", ""E267"", ""search-CrookedCottage"", ""search-SplitRoofCottage""]",,
P14-06,324.0,Bone,"[50.508, 74.0387]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E470,True,True,[],False,Local intended precise strike during Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,"[""edge-animal-split15"", ""edge-animal"", ""east-passers-split5"", ""edge-Cottage_08-split15"", ""tavern-service-runners-split5"", ""stall-thief"", ""old-Cottage_07-split13"", ""cellar-cottage-family""]","[""P06-06"", ""P06-07"", ""P08-17"", ""P08-24"", ""P09-01"", ""P10-10"", ""P14-03"", ""P14-05"", ""P14-07""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone E456""]",,
P10-01,332.0,Barrier,"[68.1757, 78.0609]",False,Household chooses nearby forest edge rather than another visibly compromised house,E474,True,True,"[{""t"": 318.0, ""cause"": ""Bone C08 shutter pressure"", ""destination"": [68.1757, 78.0609]}]",False,Physical attempt to cross opaque reactive boundary,"[""old-Cottage_12"", ""edge-animal"", ""old-CrookedCottage""]","[""P10-02"", ""P10-03"", ""P10-14"", ""P14-07""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-CrookedCottage"", ""search-SplitRoofCottage"", ""search-Cottage_08"", ""Bone C08 shutter pressure""]",,
P08-25,332.0,Barrier,"[-65.8527, 104.314]",False,Try the western woodland edge without having received the foresters' lethal-contact report,E476,True,True,"[{""t"": 280, ""cause"": ""Bone upper watcher attack"", ""destination"": [-65.8527, 104.314]}]",False,Physical attempt to cross opaque reactive boundary,"[""upper-edge-runner""]",[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Cottage_13"", ""search-Cottage_11"", ""search-UpperCottage"", ""Bone upper watcher attack""]",,
P10-02,336.0,Bone,"[64.0, 85.0]",False,Recoil from lethal boundary response and seek nearby cover rather than try again,E478,True,True,"[{""t"": 318.0, ""cause"": ""Bone C08 shutter pressure"", ""destination"": [68.1757, 78.0609]}, {""t"": 332.0, ""cause"": ""Bone-origin forced flight then local barrier discovery"", ""destination"": [64, 85]}]",False,Local intended precise strike during Recoil from lethal boundary response and seek nearby cover rather than try again,"[""old-CrookedCottage"", ""cellar-cottage-family"", ""edge-animal""]","[""P06-06"", ""P06-07"", ""P10-03"", ""P14-07""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-CrookedCottage"", ""search-SplitRoofCottage"", ""search-Cottage_08"", ""Bone C08 shutter pressure"", ""Bone-origin forced flight then local barrier discovery""]",,
P08-18,342.0,Blood,"[55.0653, 54.36]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E483,True,True,"[{""t"": 174, ""cause"": ""Bone family refuge denial"", ""destination"": ""SplitRoofCottage""}]",True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""east-passers""]","[""P08-19""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""search-Cottage_01"", ""Bone family refuge denial"", ""search-SplitRoofCottage"", ""search-CrookedCottage""]",,
P10-12,342.0,Blood,"[55.1994, 52.9088]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E483,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""search-Cottage_07""]",,
P10-14,342.0,Blood,"[55.1994, 52.9088]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E483,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""E108"", ""search-Cottage_06"", ""E267"", ""search-CrookedCottage""]",,
P10-22,342.0,Blood,"[55.0653, 54.36]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E483,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""E108"", ""search-CrookedCottage"", ""search-SplitRoofCottage"", ""search-CrookedCottage""]",,
P14-01,342.0,Blood,"[55.0653, 54.36]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E483,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""edge-SplitRoofCottage""]","[""P14-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""search-SplitRoofCottage"", ""search-CrookedCottage""]",,
P14-03,348.0,Bone,"[23.5, 97.6557]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E510,True,True,"[{""t"": 318.0, ""cause"": ""E456"", ""destination"": ""Church""}]",False,Local intended precise strike during Leave newly compromised shelter for a nearby known refuge after local disagreement,"[""foresters-split14"", ""west-EndRowCottage""]","[""P11-05"", ""P11-06"", ""P15-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E456""]",,
P06-06,360.0,Blood,"[41.1171, 79.7517]",False,Two family members stay low inside; opening another exit seems more dangerous,E524,False,False,[],False,Exposed corridor,"[""old-Cottage_12"", ""cellar-cottage-family"", ""old-Cottage_06-split8"", ""tavern-service-runners-split8"", ""old-Cottage_12-split11"", ""edge-animal"", ""old-yard-worker"", ""east-passers-split16"", ""edge-SplitRoofCottage-split16"", ""old-Cottage_07""]","[""P06-07"", ""P08-18"", ""P09-02"", ""P10-08"", ""P10-12"", ""P10-13"", ""P10-14"", ""P10-22"", ""P14-01"", ""P14-07""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-CollapsedCellarCottage"", ""search-Cottage_06"", ""search-CrookedCottage"", ""search-SplitRoofCottage"", ""search-Cottage_08""]",,
P06-07,360.0,Blood,"[41.1171, 79.7517]",False,Two family members stay low inside; opening another exit seems more dangerous,E524,False,False,[],False,Exposed corridor,"[""old-Cottage_12"", ""cellar-cottage-family"", ""old-Cottage_06-split8"", ""tavern-service-runners-split8"", ""old-Cottage_12-split11"", ""edge-animal"", ""old-yard-worker"", ""east-passers-split16"", ""edge-SplitRoofCottage-split16"", ""old-Cottage_07""]","[""P08-18"", ""P09-02"", ""P10-08"", ""P10-12"", ""P10-13"", ""P10-14"", ""P10-22"", ""P14-01"", ""P14-07""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-CollapsedCellarCottage"", ""search-Cottage_06"", ""search-CrookedCottage"", ""search-SplitRoofCottage"", ""search-Cottage_08""]",,
P08-19,360.0,Blood,"[55.1994, 52.9088]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E524,True,True,"[{""t"": 174, ""cause"": ""Bone family refuge denial"", ""destination"": ""SplitRoofCottage""}]",False,Previously breached refuge,"[""edge-SplitRoofCottage-split16"", ""old-yard-worker"", ""east-passers-split16""]","[""P08-18"", ""P10-22"", ""P14-01""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Cottage_01"", ""Bone family refuge denial"", ""search-SplitRoofCottage"", ""search-CrookedCottage""]",,
P10-12,360.0,Blood,"[46.7018, 72.1392]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E524,False,False,[],False,Exposed corridor,"[""old-Cottage_12"", ""tavern-service-runners-split8"", ""old-Cottage_06-split8"", ""old-Cottage_12-split11"", ""old-Cottage_07""]","[""P09-02"", ""P10-08"", ""P10-13"", ""P10-14""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""search-Cottage_07"", ""E483""]",,
P10-14,360.0,Blood,"[46.7018, 72.1392]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E524,False,False,[],False,Exposed corridor,"[""old-Cottage_12-split11"", ""old-Cottage_12"", ""tavern-service-runners-split8"", ""old-Cottage_06-split8""]","[""P09-02"", ""P10-08"", ""P10-13""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E108"", ""search-Cottage_06"", ""E267"", ""search-CrookedCottage"", ""E483""]",,
P10-22,360.0,Blood,"[49.8228, 65.76]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E524,False,False,[],False,Exposed corridor,"[""tavern-service-runners-split8"", ""old-Cottage_06-split8"", ""old-yard-worker"", ""east-passers-split16"", ""edge-SplitRoofCottage-split16""]","[""P08-18"", ""P09-02"", ""P10-08"", ""P14-01""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E108"", ""search-CrookedCottage"", ""search-SplitRoofCottage"", ""search-CrookedCottage"", ""E483""]",,
P14-02,360.0,Blood,"[55.1994, 52.9088]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E524,False,False,[],False,Previously breached refuge,"[""edge-SplitRoofCottage-split16"", ""east-passers-split16""]","[""P08-18"", ""P14-01""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-SplitRoofCottage"", ""search-CrookedCottage""]",,
P14-04,360.0,Blood,"[50.508, 74.0387]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E524,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""tavern-service-runners-split8"", ""old-Cottage_06-split8""]","[""P09-02"", ""P10-08""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P10-13,360.0,Blood,"[46.7018, 72.1392]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E524,False,False,[],False,Exposed corridor,"[""old-Cottage_12-split11"", ""tavern-service-runners-split8"", ""old-Cottage_06-split8""]","[""P09-02"", ""P10-08""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E108"", ""search-Cottage_06"", ""E267"", ""search-CrookedCottage"", ""E483""]",,
P10-11,360.0,Blood,"[50.508, 74.0387]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E524,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""tavern-service-runners-split8"", ""old-Cottage_06-split8""]","[""P09-02"", ""P10-08""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Cottage_07"", ""search-SplitRoofCottage""]",,
P08-18,360.0,Blood,"[49.8228, 65.76]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E524,True,True,"[{""t"": 174, ""cause"": ""Bone family refuge denial"", ""destination"": ""SplitRoofCottage""}]",False,Exposed corridor,"[""tavern-service-runners-split8"", ""old-Cottage_06-split8"", ""edge-SplitRoofCottage-split16"", ""east-passers-split16""]","[""P09-02"", ""P10-08"", ""P14-01""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""search-Cottage_01"", ""Bone family refuge denial"", ""search-SplitRoofCottage"", ""search-CrookedCottage"", ""E483""]",,
P14-01,360.0,Blood,"[49.8228, 65.76]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E524,False,False,[],False,Exposed corridor,"[""tavern-service-runners-split8"", ""old-Cottage_06-split8"", ""edge-SplitRoofCottage-split16""]","[""P09-02"", ""P10-08""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""search-SplitRoofCottage"", ""search-CrookedCottage"", ""E483""]",,
P16-01,366.001,Witch,"[2, 146]",False,"Secured by the Witch for the final confrontation; unable to escape, awaiting her decision",E538,False,False,[],False,"Personally secured during final confrontation; minimal terminal event, no cinematic choreography",[],[],Only listed witnesses receive the cause/death; others may later hear reports.,1,[],Remain with household behind closed cover; listen and assess unfamiliar blackout,"Context clarified from recorded Witch arrival/restraint event after closure; no position, timing, casualty or outcome changed."
